35fl_01;;dNCDch_pho50;;240920.002_fluor_02;;240920.002_phos_03;
Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Wavelength (nm);Intensity (a.u.);Wavelength (nm);Intensity (a.u.)
0.10249999910593;62.720027923584;0.005104999989;561.862915;300;2.811449528;300;-0.09836880118
0.1075100004673;69.4201889038086;0.01512499992;556.1763916;301.0700073;3.242103577;302;0.1981460154
0.11252000182867;76.1203460693359;0.02514499985;549.6099854;302;3.369723797;304;0.3686590195
0.11752999573946;82.8204956054687;0.03516500071;544.5912476;303.0700073;3.878913879;306;0.6183781624
0.12253999710083;82.2900085449219;0.0451849997;540.8132935;304;4.44969511;308;0.3023917973
0.127550005912781;76.9209899902344;0.0552049987;536.6424561;305.0700073;5.201020241;310;1.428945184
0.13255999982357;71.5519943237305;0.0652249977;532.9596558;306;5.705516815;312.0299988;1.441511393
0.13756999373436;72.3857650756836;0.07524500042;529.173645;307.0700073;7.279732227;314.0599976;2.561830997
0.14258000254631;73.2288360595703;0.08526499569;525.5715942;308;8.147712708;315.9299927;3.256477594
0.1475899964571;73.8070678710937;0.09528499842;521.6594238;309.0700073;10.26144123;317.9599915;4.086092949
0.152600005269051;73.9845504760742;0.1053050011;518.3641357;310;13.62975502;320;5.818273067
0.15760999917984;74.1620407104492;0.1153249964;516.6312256;310.9299927;23.18041801;322;7.196560383
0.16261999309063;73.5612106323242;0.1253449917;513.3395386;312.0299988;40.82364273;324;8.444964409
0.16763000190258;72.7625198364258;0.1353649944;509.5979004;312.9599915;56.67141724;326;8.948505402
0.17263999581337;71.134635925293;0.1453849971;506.0786743;314.0599976;68.13356781;328;8.782361031
0.17765000462532;66.1206130981445;0.1554049999;503.2914429;315;73.72611237;330;9.021653175
0.18265999853611;61.1065979003906;0.1654250026;501.7184143;315.9299927;89.85791779;332;9.115704536
0.187669992446899;61.0123481750488;0.1754450053;498.7748108;317.0299988;116.5903091;334;8.98678112
0.19268000125885;64.2515029907227;0.1854649931;495.8765564;317.9599915;135.7863159;336;8.956090927
0.19768999516964;67.4906463623047;0.1954849958;492.4101563;319.0599976;144.19487;338;9.389209747
0.20270000398159;66.0033264160156;0.2055049986;489.1120605;320;163.6152344;340;8.121113777
0.20770999789238;64.4946823120117;0.2155250013;486.6847229;321.0700073;250.8631592;342;7.46610117
0.212719991803169;64.0023651123047;0.225545004;483.9342346;322;369.1806335;344;7.361811161
0.21773000061512;65.0672912597656;0.2355649918;480.9188843;323.0700073;481.7970581;346;6.634998322
0.222739994525909;66.1322174072266;0.2455849946;478.612793;324;531.1541748;348;6.297857761
0.22775000333786;67.7258148193359;0.2556050122;476.0117188;325.0700073;547.930603;350;6.204944611
0.23275999724865;69.4563217163086;0.265625;474.4410706;326;556.2816772;352;5.487059116
0.237769991159439;69.4935302734375;0.2756449878;470.7528687;327.0700073;543.40271;354;4.878521442
0.24277999997139;62.4827651977539;0.2856650054;468.2265625;328;502.1751404;356;4.687780857
0.247789993882179;55.4720230102539;0.2956849933;466.138855;329.0700073;436.4824829;358;3.818096638
0.252799987792969;54.4616546630859;0.3057050109;463.7605896;330;406.0358887;360;3.678911448
0.257809996604919;57.5676956176758;0.3157249987;460.9604492;331.0700073;404.0474243;362;3.347769022
0.26282000541687;60.6737365722656;0.3257449865;458.1600037;332;432.144989;364;2.697747231
0.267829984426498;62.3264465332031;0.3357650042;455.605072;333.0700073;463.4560242;366;2.600699663
0.272839993238449;63.9682083129883;0.345784992;453.046814;334;472.6335449;368;2.444550514
0.2778500020504;63.2623100280762;0.3558050096;450.8556519;335.0700073;469.9389343;370;2.404118299
0.28286001086235;58.9138526916504;0.3658249974;448.3967896;336;493.5900269;372;1.716342449
0.287869989871979;54.5654182434082;0.3758449852;446.4335938;337.0700073;537.1729126;374;1.785249114
0.292879998683929;54.0793228149414;0.3858650029;444.0056763;338;550.8088379;376;1.747996211
0.29789000749588;54.6117858886719;0.3958849907;439.9133301;339.0700073;519.4674072;378;1.329258561
0.302899986505508;54.7380447387695;0.4059050083;438.4636841;340;493.2462158;380;1.203850985
0.307909995317459;53.1406555175781;0.4159249961;436.9396362;341.0700073;465.5437927;382;0.7217627168
0.31292000412941;51.5432662963867;0.425944984;434.0263062;342;456.2538757;384;1.166875482
0.317929983139038;53.5069885253906;0.4359650016;432.0845642;343.0700073;426.1524353;386;1.161429524
0.322939991950989;57.9441947937012;0.4459849894;429.453125;344;391.6437378;388;0.9724396467
0.327950000762939;62.3813972473145;0.456005007;426.1079712;345.0700073;355.7560425;390;0.7044987082
0.33296000957489;57.5980949401855;0.4660249949;424.6853943;346;335.0267029;392;1.061579347
0.337969988584518;52.717212677002;0.4760449827;422.7426758;347.0700073;322.3966675;394;0.7602990866
0.342979997396469;51.4430656433105;0.4860650003;419.9602051;348;326.7016602;396;0.8168571591
0.34799000620842;55.8358840942383;0.4960849881;417.6379395;349.0700073;332.3626709;398;0.4504517019
0.352999985218048;60.2286796569824;0.5061050057;415.5550232;350;332.026886;400;0.8668621778
0.358009994029999;56.9260520935059;0.5161250234;413.6705017;351.0700073;325.9238892;401.9599915;0.673656106
0.363020002841949;51.5570487976074;0.5261449814;411.4500122;352;316.6066284;403.9299927;0.8343338966
0.3680300116539;47.962272644043;0.536164999;409.3345032;353.0700073;304.768158;406.0599976;1.01245749
0.373039990663528;52.0444755554199;0.5461850166;407.1390381;354;293.7087097;408.0299988;0.9770066142
0.378049999475479;56.1267013549805;0.5562049747;404.9735413;355.0700073;268.3587646;410;0.5724393129
0.38306000828743;56.2490158081055;0.5662249923;403.6626587;356;248.4555206;412;0.7556369305
0.388069987297058;53.5867156982422;0.5762450099;400.7468872;357.0700073;225.1699219;414;0.8110424876
0.393079996109009;50.9244003295898;0.5862649679;398.3794556;358;212.1597748;416;1.398080111
0.398090004920959;55.1346168518066;0.5962849855;396.6098022;359.0700073;202.6576691;418;1.31272459
0.403099983930588;59.4386711120605;0.6063050032;394.3828735;360;191.9327393;420;1.291939497
0.408109992742538;60.5918884277344;0.6163250208;391.7819214;361.0700073;179.4063568;421.9599915;1.38643074
0.413120001554489;56.7315216064453;0.6263449788;390.3076782;362;167.7708588;423.9299927;1.180785418
0.41813001036644;52.8711547851562;0.6363649964;388.0949097;363.0700073;154.8123169;426.0599976;1.79890132
0.423139989376068;54.690803527832;0.6463850141;385.6384277;364;144.5476685;428.0299988;2.579799414
0.428149998188019;58.0630683898926;0.6564049721;383.3166809;365.0700073;135.6074524;430;1.717658877
0.433160006999969;59.607421875;0.6664249897;382.4608765;366;132.2150116;432;2.474985838
0.438169986009598;53.0847854614258;0.6764450073;379.7958984;367.0700073;129.3675842;434;2.292618752
0.443179994821548;46.5621109008789;0.6864650249;377.9296875;368;125.8927994;436;3.134431601
0.448190003633499;43.6680946350098;0.696484983;375.7714233;369.0700073;120.2949982;438;3.906833887
0.453199982643127;43.357494354248;0.7065050006;373.7740479;370;113.6441879;440;4.928199291
0.458209991455078;43.0468902587891;0.7165250182;371.8342896;371.0700073;104.1611557;441.9599915;6.345449448
0.463220000267029;44.1328086853027;0.7265449762;369.6307678;372;97.88387299;443.9299927;8.259583473
0.46823000907898;45.2421035766602;0.7365649939;367.3004456;373.0700073;89.16055298;446.0599976;9.671945572
0.473239988088608;44.7711906433105;0.7465850115;366.9293823;374;80.32550049;448.0299988;12.32171345
0.478249996900558;41.7538986206055;0.7566049695;365.209259;375.0700073;71.30812073;450;16.58540344
0.483260005712509;38.7366065979004;0.7666249871;362.2285156;376;66.02463531;451.9599915;24.96315956
0.488269984722137;41.9677734375;0.7766450047;360.2947388;377.0700073;63.69755554;453.9299927;37.08843231
0.493279993534088;46.937442779541;0.7866650224;358.828064;378;61.25440598;456.0599976;49.66693115
0.498290002346039;51.3587455749512;0.7966849804;356.2113647;379.0700073;61.46824265;458.0299988;72.78050232
0.50330001115799;53.3111038208008;0.806704998;354.8171997;380;58.45302582;460;109.148819
0.50831001996994;55.2634658813477;0.8167250156;352.088562;381.0700073;54.51197052;461.9599915;199.6826935
0.513319969177246;56.3390922546387;0.8267449737;352.0036621;382;51.96912003;463.9299927;333.2310181
0.518329977989197;56.7828102111816;0.8367649913;348.6954956;383.0700073;48.77142334;466.0599976;493.7259827
0.523339986801147;57.2265319824219;0.8467850089;347.3851624;384;43.45079041;468.0299988;667.5100098
0.528349995613098;51.4920616149902;0.8568049669;345.3811646;385.0700073;41.04650116;470;731.9284668
0.533360004425049;45.634952545166;0.8668249846;344.020874;386;38.47210693;471.9400024;744.1748657
0.538370013236999;43.1327781677246;0.8768450022;341.7805176;387.0700073;35.00934982;474.019989;699.4604492
0.54338002204895;46.1056938171387;0.8868650198;339.6762085;388;32.94804764;475.9700012;646.1747437
0.548389971256256;49.0785713195801;0.8968849778;338.0434875;389.0700073;30.77108192;478.0499878;593.5521851
0.553399980068207;48.6971778869629;0.9069049954;336.2926636;390;28.82522964;480;543.1616821
0.558409988880157;47.3660202026367;0.9169250131;333.239502;391.0700073;26.05572319;481.9599915;522.8469238
0.563419997692108;46.328311920166;0.9269449711;332.7864075;392;24.32432365;483.9299927;501.696167
0.568430006504059;46.6389122009277;0.9369649887;330.7025146;393.0700073;22.52026749;486.0599976;448.9891357
0.57344001531601;46.9495162963867;0.9469850063;329.8475037;394;21.10287094;488.0299988;423.0327759
0.57845002412796;47.7218856811523;0.9570049644;327.5127563;395.0700073;19.19320869;490;416.5553894
0.583459973335266;48.831169128418;0.967024982;326.7638855;396;17.52974129;491.9400024;448.5115967
0.588469982147217;49.9404640197754;0.9770449996;324.5309753;397.0700073;16.20384026;494.019989;516.2290039
0.593479990959167;50.0955085754395;0.9870650172;323.3041382;398;15.75120354;495.9700012;591.423584
0.598489999771118;50.2286224365234;0.9970849752;321.4322205;399.0700073;14.21867752;498.0499878;721.192688
0.603500008583069;50.9638748168945;1.007104993;319.3143005;400;13.00161552;500;833.1355591
0.60851001739502;52.6943855285645;1.01712501;318.3990173;401.0599976;12.46830082;501.9599915;922.7426758
0.613519966602325;54.4248733520508;1.027145028;316.008606;401.9599915;11.85101509;503.9299927;963.2210693
0.618529975414276;49.0591087341309;1.037165046;315.1086731;403.0299988;10.67771626;506.0599976;984.4279785
0.623539984226227;41.6490097045898;1.047184944;313.2032471;403.9299927;10.38419533;508.0299988;941.3929443
0.628549993038178;36.3054122924805;1.057204962;310.7541199;405;9.440857887;510;936.1723022
0.633560001850128;40.6538734436035;1.067224979;310.09021;406.0599976;9.057896614;511.9400024;781.1143799
0.638570010662079;45.0023307800293;1.077244997;307.7017822;406.9599915;8.589994431;514.0200195;705.8843994
0.64358001947403;48.4830856323242;1.087265015;307.035675;408.0299988;8.238509178;515.9699707;649.7844238
0.648589968681335;51.3228607177734;1.097285032;304.7926331;408.9299927;7.858350754;518.0499878;592.1966553
0.653599977493286;54.1626739501953;1.10730505;303.200531;410;7.704191208;520;550.2455444
0.658609986305237;46.0188331604004;1.117324948;302.0387268;411.0700073;7.374511242;521.9400024;511.1464233
0.663619995117187;37.5881843566895;1.127344966;299.5363159;412;7.564264297;524.0200195;461.0567017
0.668630003929138;34.2349586486816;1.137364984;297.8489685;413.0700073;7.560483456;525.9699707;438.4873047
0.673640012741089;39.3821144104004;1.147385001;296.634613;414;6.910049438;528.0499878;422.5551758
0.678650021553039;44.5292701721191;1.157405019;295.1360779;415.0700073;6.948646545;530;416.414978
0.683659970760345;41.8525390625;1.167425036;294.3760376;416;7.080297947;531.9400024;428.0125732
0.688669979572296;36.882869720459;1.177444935;292.0507202;417.0700073;6.530169487;534.0200195;446.0670776
0.693679988384247;33.4003295898438;1.187464952;291.3322144;418;6.437811375;535.9699707;469.8217163
0.698689997196198;37.0388221740723;1.19748497;289.0745544;419.0700073;6.829947948;538.0499878;505.1271973
0.703700006008148;40.6773147583008;1.207504988;286.8064575;420;6.31989336;540;520.2944336
0.708710014820099;41.2185096740723;1.217525005;286.2492371;421.0599976;6.318458557;542.0499878;524.0206909
0.71372002363205;39.4436264038086;1.227545023;284.56427;421.9599915;5.910311699;543.9699707;533.661438
0.718729972839356;37.6687660217285;1.237565041;283.5856323;423.0299988;5.57688427;546.0200195;514.7456055
0.723739981651306;37.3165092468262;1.247584939;281.7875366;423.9299927;4.9945755;547.9400024;476.57901
0.728749990463257;37.0059051513672;1.257604957;280.5378113;425;4.636754036;550;447.4562988
0.733759999275208;38.1108932495117;1.267624974;278.9977722;426.0599976;4.07494545;551.9400024;409.6078491
0.738770008087158;41.616268157959;1.277644992;277.5854187;426.9599915;3.914131403;554.0200195;371.3072205
0.743780016899109;45.1216430664063;1.287665009;275.7390442;428.0299988;3.333594799;555.9699707;331.0742188
0.748789966106415;43.8073234558105;1.297685027;274.1466675;428.9299927;2.774264574;558.0499878;312.4777832
0.753799974918365;41.0562591552734;1.307705045;273.6532593;430;2.827372074;560;286.6965637
0.758809983730316;39.0584526062012;1.317724943;271.9021912;431.0700073;2.562173367;562.0499878;253.6304321
0.763819992542267;40.7445907592773;1.327744961;270.7120056;432;2.710959196;563.9699707;238.8743744
0.768830001354217;42.4307289123535;1.337764978;269.252594;433.0700073;2.655401468;566.0200195;220.8648071
0.773840010166168;41.1620140075684;1.347784996;267.9710083;434;2.357368708;567.9400024;205.2067261
0.778850018978119;37.6566390991211;1.357805014;265.9867249;435.0700073;2.621874332;570;193.817337
0.783859968185425;34.1513023376465;1.367825031;265.2185059;436;2.292075872;571.9400024;182.6004333
0.788869976997375;34.084056854248;1.377845049;263.3671265;437.0700073;2.188685656;574.0200195;172.7069244
0.793879985809326;34.1284294128418;1.387864947;262.6716919;438;1.96905756;575.9699707;172.5699615
0.798889994621277;34.5809860229492;1.397884965;260.9674377;439.0700073;2.25880003;578.0499878;174.2520142
0.803900003433228;35.7346611022949;1.407904983;260.0913086;440;1.858736038;580;172.3002625
0.808910012245178;36.8883323669434;1.417925;257.870636;441.0599976;2.044867992;582.0499878;171.1032104
0.813920021057129;35.6585083007812;1.427945018;256.2533264;441.9599915;2.302379131;583.9699707;167.9969788
0.818929970264435;33.7061729431152;1.437965035;255.4775085;443.0299988;1.835695386;586.0200195;170.2263031
0.823939979076386;31.9387989044189;1.447984934;254.8470764;443.9299927;1.730317593;587.9400024;166.0280151
0.828949987888336;31.0957317352295;1.458004951;253.1574707;445;1.774366617;590;159.7045135
0.833959996700287;30.2526626586914;1.468024969;251.1725311;446.0599976;1.831981063;592.0499878;152.6460876
0.838970005512238;30.1130142211914;1.478044987;249.8234558;446.9599915;1.867529988;593.9699707;149.0898285
0.843980014324188;30.5123634338379;1.488065004;248.6833191;448.0299988;1.750227094;596.0200195;135.5708923
0.848990023136139;30.9117126464844;1.498085022;247.3009491;448.9299927;1.713524103;597.9400024;125.9066772
0.853999972343445;30.5827045440674;1.50810504;246.1223145;450;1.564618826;600;112.6160583
0.859009981155395;30.2277278900146;1.518124938;245.3195496;451.0599976;1.573613644;602.0200195;102.4570313
0.864019989967346;30.5529155731201;1.528144956;243.8026123;451.9599915;1.532869101;604.0499878;96.58824921
0.869029998779297;32.0615653991699;1.538164973;242.2918396;453.0299988;1.584786057;605.9400024;88.41313171
0.874040007591248;33.5702133178711;1.548184991;242.180542;453.9299927;1.315410852;607.9699707;81.09536743
0.879050016403198;33.1116828918457;1.558205009;240.7181702;455;1.400882363;610;76.53012848
0.884059965610504;32.0467720031738;1.568225026;238.9626007;456.0599976;1.221603155;612.0499878;69.76716614
0.889069974422455;31.3161067962646;1.578245044;237.9633789;456.9599915;1.496814013;613.9699707;62.50200272
0.894079983234406;32.2922897338867;1.588264942;235.8124542;458.0299988;1.600341439;616.0200195;57.63282013
0.899089992046356;33.2684783935547;1.59828496;234.9651337;458.9299927;1.366411924;617.9400024;54.22771454
0.904100000858307;34.7944221496582;1.608304977;234.2011414;460;1.108718395;620;50.80854416
0.909110009670258;36.7467918395996;1.618324995;232.4784851;461.0599976;1.182806969;622.0200195;47.72526932
0.914120018482208;38.699161529541;1.628345013;231.7182922;461.9599915;1.327261448;624.0499878;43.98574448
0.919129967689514;35.6970176696777;1.63836503;230.143631;463.0299988;1.273689508;625.9400024;42.6141777
0.924139976501465;32.5022430419922;1.648385048;229.8184509;463.9299927;1.089580536;627.9699707;40.45768356
0.929149985313416;30.1747779846191;1.658404946;228.0713806;465;1.204953671;630;39.03520966
0.934159994125366;29.3760814666748;1.668424964;227.6110077;466.0599976;1.047814608;632.0200195;37.83504486
0.939170002937317;28.5773849487305;1.678444982;225.3381653;466.9599915;0.9391981363;634.0499878;35.38474655
0.944180011749268;30.4138374328613;1.688464999;224.0912781;468.0299988;1.209764481;635.9400024;34.48194885
0.949190020561218;33.0761604309082;1.698485017;223.7840881;468.9299927;1.029159546;637.9699707;34.04739761
0.954199969768524;34.8752365112305;1.708505034;222.1482239;470;1.312363267;640;33.33583832
0.959209978580475;32.1685523986816;1.718524933;221.1978455;471.0400085;1.027068973;642.0200195;31.04683304
0.964219987392426;29.4618701934814;1.72854495;220.0023651;471.9400024;0.9554706216;644.0499878;31.62252808
0.969229996204376;28.1968364715576;1.738564968;218.9088898;472.980011;1.116682291;645.9400024;29.21757507
0.974240005016327;28.063720703125;1.748584986;217.6925507;474.019989;1.196000576;647.9699707;27.23721695
0.979250013828278;27.9306049346924;1.758605003;217.1095276;475.0700073;0.8424983025;650;25.28881073
0.984259963035583;32.4810943603516;1.768625021;215.5123291;475.9700012;0.9595581293;652.0200195;24.46890259
0.989269971847534;37.2289047241211;1.778645039;214.8174591;477.0100098;1.103117466;654.0499878;22.53106689
0.994279980659485;38.2493667602539;1.788664937;213.4082031;478.0499878;0.8446293473;655.9400024;20.05209541
0.999289989471436;32.6141166687012;1.798684955;212.2544403;478.9500122;1.126760602;657.9699707;18.84396744
1.00429999828339;26.9788684844971;1.808704972;211.5519714;480;0.9633911252;660;16.6156559
1.00931000709534;26.2567329406738;1.81872499;210.3166199;481.0599976;0.9967547655;662;15.4712801
1.01432001590729;27.0998020172119;1.828745008;209.1182861;481.9599915;0.9442276359;664;14.65196419
1.01933002471924;27.9568729400635;1.838765025;207.406662;483.0299988;0.8805085421;666;13.33872318
1.02434003353119;28.8886775970459;1.848785043;206.9621277;483.9299927;0.8257305622;668;12.42259979
1.02935004234314;29.8204822540283;1.858804941;205.5663147;485;0.8241434693;670;11.71274757
1.03436005115509;30.6286735534668;1.868824959;204.7187347;486.0599976;0.8951661587;672;10.75190735
1.03936994075775;31.3386096954346;1.878844976;203.4101868;486.9599915;0.7941679955;674;9.993013382
1.0443799495697;32.0485610961914;1.888864994;203.2165222;488.0299988;0.9281933904;676;8.817993164
1.04938995838165;29.4477882385254;1.898885012;201.9350891;488.9299927;1.021872044;678;8.033741951
1.0543999671936;26.696720123291;1.908905029;200.6095886;490;1.164029479;680;7.81058073
1.05940997600555;26.1096782684326;1.918924928;199.404953;491.0400085;0.93674016;682;6.757081985
1.0644199848175;29.4375820159912;1.928944945;198.3334045;491.9400024;0.8259800673;684;6.194618702
1.06942999362946;32.7654838562012;1.938964963;198.4282074;492.980011;1.000960946;686;6.156837463
1.07444000244141;32.0041389465332;1.948984981;196.554718;494.019989;0.8683639169;688;6.026238918
1.07945001125336;29.9186534881592;1.959004998;196.0520935;495.0700073;0.9341893792;690;5.991737843
1.08446002006531;28.0255012512207;1.969025016;194.2524719;495.9700012;0.9614204764;692;5.544173717
1.08947002887726;27.1824398040771;1.979045033;193.2647247;497.0100098;0.7729547024;694;5.124214172
1.09448003768921;26.3393783569336;1.989064932;192.5776367;498.0499878;0.8748194575;696;4.698450089
1.09949004650116;27.9307842254639;1.999084949;191.0323181;498.9500122;0.9506292939;698;4.999856472
1.10449993610382;31.4804630279541;2.009104967;190.98703;500;0.7741320729;700;4.734051704
1.10950994491577;35.0302276611328;2.019124985;189.2700806;501.0599976;0.5607739091;;
1.11451995372772;33.967960357666;2.029145002;187.8470917;501.9599915;0.5360013843;;
1.11952996253967;32.6811714172363;2.03916502;187.5426025;503.0299988;0.8387030959;;
1.12453997135162;30.7208824157715;2.049185038;186.5755463;503.9299927;0.5435767174;;
1.12954998016357;27.5260963439941;2.059205055;185.0505524;505;0.585113883;;
1.13455998897552;24.3313102722168;2.069225073;184.7687988;506.0599976;0.7075623274;;
1.13956999778748;24.1745948791504;2.07924509;184.0844727;506.9599915;0.5399244428;;
1.14458000659943;25.0176639556885;2.08926487;183.2555695;508.0299988;0.602191925;;
1.14959001541138;25.530668258667;2.099284887;181.2062683;508.9299927;0.4998804629;;
1.15460002422333;24.1995067596436;2.109304905;180.0272675;510;0.4387539625;;
1.15961003303528;22.8683471679687;2.119324923;179.6837158;511.0400085;0.4010105431;;
1.16462004184723;22.5644454956055;2.12934494;179.1664124;511.9400024;0.5512462258;;
1.16963005065918;23.0969047546387;2.139364958;178.0411072;512.9799805;0.6197521091;;
1.17463994026184;23.6293525695801;2.149384975;177.8589935;514.0200195;0.5765658021;;
1.17964994907379;25.7646236419678;2.159404993;176.2719421;515.0700073;0.5841827393;;
1.18465995788574;27.9832248687744;2.169425011;174.9730377;515.9699707;0.4526222348;;
1.18966996669769;27.1424694061279;2.179445028;174.457428;517.0100098;0.4210864007;;
1.19467997550964;20.6197776794434;2.189465046;173.6569977;518.0499878;0.402171731;;
1.19968998432159;14.0970878601074;2.199485064;172.7632141;518.9500122;0.5988023877;;
1.20469999313354;17.8161296844482;2.209505081;171.7041931;520;0.4253595173;;
1.2097100019455;24.9600276947021;2.219525099;170.5205994;521.039978;0.553063333;;
1.21472001075745;31.4040126800537;2.229544878;170.0577545;521.9400024;0.6035731435;;
1.2197300195694;33.8444747924805;2.239564896;168.8857117;522.9799805;0.5178973079;;
1.22474002838135;36.2849349975586;2.249584913;168.4704437;524.0200195;0.4590085447;;
1.2297500371933;35.7333488464355;2.259604931;167.3609009;525.0700073;0.3331047297;;
1.23476004600525;32.7160530090332;2.269624949;167.0201111;525.9699707;0.3386791646;;
1.23976993560791;29.6988258361816;2.279644966;166.1054077;527.0100098;0.3196675479;;
1.24477994441986;28.0690975189209;2.289664984;165.1297913;528.0499878;0.38244766;;
1.24978995323181;26.5160884857178;2.299685001;163.6347351;528.9500122;0.4698512256;;
1.25479996204376;25.4711666107178;2.309705019;163.0143738;530;0.3723227084;;
1.25980997085571;25.3824234008789;2.319725037;162.1086121;531.039978;0.5261773467;;
1.26481997966766;25.29368019104;2.329745054;161.2285614;531.9400024;0.3287756145;;
1.26982998847961;24.2444763183594;2.339765072;160.7587128;532.9799805;0.5258367658;;
1.27483999729156;22.8689422607422;2.349785089;159.9950409;534.0200195;0.3652230799;;
1.27985000610352;21.8945446014404;2.359804869;158.6655273;535.0700073;0.3976696432;;
1.28486001491547;23.2700786590576;2.369824886;158.7301483;535.9699707;0.414070487;;
1.28987002372742;24.6456108093262;2.379844904;157.6222839;537.0100098;0.3523263335;;
1.29488003253937;24.2308940887451;2.389864922;156.643219;538.0499878;0.261780113;;
1.29989004135132;22.3228969573975;2.399884939;156.5016632;538.9500122;0.1218694746;;
1.30489993095398;20.4149436950684;2.409904957;155.3251038;540;0.3421486914;;
1.30990993976593;21.9019908905029;2.419924974;154.0583801;541.0200195;0.4115310907;;
1.31491994857788;23.5881309509277;2.429944992;153.6691589;542.0499878;0.2914480865;;
1.31992995738983;24.8315887451172;2.43996501;152.7937775;542.9400024;0.3360779583;;
1.32493996620178;25.2309341430664;2.449985027;151.9532318;543.9699707;0.4078391194;;
1.32994997501373;25.630277633667;2.460005045;150.83078;545;0.4412042797;;
1.33495998382568;29.8890228271484;2.470025063;150.7187653;546.0200195;0.2872148454;;
1.33996999263763;35.4799003601074;2.48004508;149.2637329;547.0499878;0.2876042426;;
1.34498000144958;39.0746536254883;2.490065098;149.0982361;547.9400024;0.2621654868;;
